iri,prefix,vocabulary,tier,kind,label,definition,types,parents,domain,range,status,deprecated,source
http://www.w3.org/2004/02/skos/core#closeMatch,skos,SKOS,1,property,has close match,"skos:closeMatch is used to link two concepts that are sufficiently similar that they can be used interchangeably in some information retrieval applications. In order to avoid the possibility of ""compound errors"" when combining mappings across more than two concept schemes, skos:closeMatch is not declared to be a transitive property.",owl:ObjectProperty; owl:SymmetricProperty; rdf:Property,skos:mappingRelation,,,,,http://www.w3.org/2004/02/skos/core.rdf
http://www.w3.org/2004/02/skos/core#definition,skos,SKOS,1,property,definition,A statement or formal explanation of the meaning of a concept.,owl:AnnotationProperty; rdf:Property,skos:note,,,,,http://www.w3.org/2004/02/skos/core.rdf
http://www.w3.org/2004/02/skos/core#editorialNote,skos,SKOS,1,property,editorial note,"A note for an editor, translator or maintainer of the vocabulary.",owl:AnnotationProperty; rdf:Property,skos:note,,,,,http://www.w3.org/2004/02/skos/core.rdf
http://www.w3.org/2004/02/skos/core#exactMatch,skos,SKOS,1,property,has exact match,"skos:exactMatch is used to link two concepts, indicating a high degree of confidence that the concepts can be used interchangeably across a wide range of information retrieval applications. skos:exactMatch is a transitive property, and is a sub-property of skos:closeMatch.",owl:ObjectProperty; owl:SymmetricProperty; owl:TransitiveProperty; rdf:Property,skos:closeMatch,,,,,http://www.w3.org/2004/02/skos/core.rdf
http://www.w3.org/2004/02/skos/core#example,skos,SKOS,1,property,example,An example of the use of a concept.,owl:AnnotationProperty; rdf:Property,skos:note,,,,,http://www.w3.org/2004/02/skos/core.rdf
http://www.w3.org/2004/02/skos/core#hasTopConcept,skos,SKOS,1,property,has top concept,"Relates, by convention, a concept scheme to a concept which is topmost in the broader/narrower concept hierarchies for that scheme, providing an entry point to these hierarchies.",owl:ObjectProperty; rdf:Property,,skos:ConceptScheme,skos:Concept,,,http://www.w3.org/2004/02/skos/core.rdf
http://www.w3.org/2004/02/skos/core#hiddenLabel,skos,SKOS,1,property,hidden label,"A lexical label for a resource that should be hidden when generating visual displays of the resource, but should still be accessible to free text search operations.",owl:AnnotationProperty; rdf:Property,rdfs:label,,,,,http://www.w3.org/2004/02/skos/core.rdf
http://www.w3.org/2004/02/skos/core#historyNote,skos,SKOS,1,property,history note,A note about the past state/use/meaning of a concept.,owl:AnnotationProperty; rdf:Property,skos:note,,,,,http://www.w3.org/2004/02/skos/core.rdf
http://www.w3.org/2004/02/skos/core#inScheme,skos,SKOS,1,property,is in scheme,Relates a resource (for example a concept) to a concept scheme in which it is included.,owl:ObjectProperty; rdf:Property,,,skos:ConceptScheme,,,http://www.w3.org/2004/02/skos/core.rdf
http://www.w3.org/2004/02/skos/core#mappingRelation,skos,SKOS,1,property,is in mapping relation with,"Relates two concepts coming, by convention, from different schemes, and that have comparable meanings",owl:ObjectProperty; rdf:Property,skos:semanticRelation,,,,,http://www.w3.org/2004/02/skos/core.rdf
http://www.w3.org/2004/02/skos/core#member,skos,SKOS,1,property,has member,Relates a collection to one of its members.,owl:ObjectProperty; rdf:Property,,skos:Collection,,,,http://www.w3.org/2004/02/skos/core.rdf
http://www.w3.org/2004/02/skos/core#memberList,skos,SKOS,1,property,has member list,Relates an ordered collection to the RDF list containing its members.,owl:FunctionalProperty; owl:ObjectProperty; rdf:Property,,skos:OrderedCollection,rdf:List,,,http://www.w3.org/2004/02/skos/core.rdf
http://www.w3.org/2004/02/skos/core#narrowMatch,skos,SKOS,1,property,has narrower match,skos:narrowMatch is used to state a hierarchical mapping link between two conceptual resources in different concept schemes.,owl:ObjectProperty; rdf:Property,skos:mappingRelation; skos:narrower,,,,,http://www.w3.org/2004/02/skos/core.rdf
http://www.w3.org/2004/02/skos/core#narrower,skos,SKOS,1,property,has narrower,Relates a concept to a concept that is more specific in meaning.,owl:ObjectProperty; rdf:Property,skos:narrowerTransitive,,,,,http://www.w3.org/2004/02/skos/core.rdf
http://www.w3.org/2004/02/skos/core#narrowerTransitive,skos,SKOS,1,property,has narrower transitive,skos:narrowerTransitive is a transitive superproperty of skos:narrower.,owl:ObjectProperty; owl:TransitiveProperty; rdf:Property,skos:semanticRelation,,,,,http://www.w3.org/2004/02/skos/core.rdf
http://www.w3.org/2004/02/skos/core#notation,skos,SKOS,1,property,notation,"A notation, also known as classification code, is a string of characters such as ""T58.5"" or ""303.4833"" used to uniquely identify a concept within the scope of a given concept scheme.",owl:DatatypeProperty; rdf:Property,,,,,,http://www.w3.org/2004/02/skos/core.rdf
http://www.w3.org/2004/02/skos/core#note,skos,SKOS,1,property,note,"A general note, for any purpose.",owl:AnnotationProperty; rdf:Property,,,,,,http://www.w3.org/2004/02/skos/core.rdf
http://www.w3.org/2004/02/skos/core#prefLabel,skos,SKOS,1,property,preferred label,"The preferred lexical label for a resource, in a given language.",owl:AnnotationProperty; rdf:Property,rdfs:label,,,,,http://www.w3.org/2004/02/skos/core.rdf
http://www.w3.org/2004/02/skos/core#related,skos,SKOS,1,property,has related,Relates a concept to a concept with which there is an associative semantic relationship.,owl:ObjectProperty; owl:SymmetricProperty; rdf:Property,skos:semanticRelation,,,,,http://www.w3.org/2004/02/skos/core.rdf
http://www.w3.org/2004/02/skos/core#relatedMatch,skos,SKOS,1,property,has related match,skos:relatedMatch is used to state an associative mapping link between two conceptual resources in different concept schemes.,owl:ObjectProperty; owl:SymmetricProperty; rdf:Property,skos:mappingRelation; skos:related,,,,,http://www.w3.org/2004/02/skos/core.rdf
http://www.w3.org/2004/02/skos/core#scopeNote,skos,SKOS,1,property,scope note,A note that helps to clarify the meaning and/or the use of a concept.,owl:AnnotationProperty; rdf:Property,skos:note,,,,,http://www.w3.org/2004/02/skos/core.rdf
http://www.w3.org/2004/02/skos/core#semanticRelation,skos,SKOS,1,property,is in semantic relation with,Links a concept to a concept related by meaning.,owl:ObjectProperty; rdf:Property,,skos:Concept,skos:Concept,,,http://www.w3.org/2004/02/skos/core.rdf
http://www.w3.org/2004/02/skos/core#topConceptOf,skos,SKOS,1,property,is top concept in scheme,Relates a concept to the concept scheme that it is a top level concept of.,owl:ObjectProperty; rdf:Property,skos:inScheme,skos:Concept,skos:ConceptScheme,,,http://www.w3.org/2004/02/skos/core.rdf
http://www.w3.org/2008/05/skos-xl#Label,skosxl,SKOS-XL,1,class,Label,A special class of lexical entities.,owl:Class,,,,,,http://www.w3.org/2008/05/skos-xl.rdf
http://www.w3.org/2008/05/skos-xl#altLabel,skosxl,SKOS-XL,1,property,alternative label,The property skosxl:altLabel is used to associate an skosxl:Label with a skos:Concept. The property is analogous to skos:altLabel.,owl:ObjectProperty; rdf:Property,,,<http://www.w3.org/2008/05/skos-xl#Label>,,,http://www.w3.org/2008/05/skos-xl.rdf
http://www.w3.org/2008/05/skos-xl#hiddenLabel,skosxl,SKOS-XL,1,property,hidden label,The property skosxl:hiddenLabel is used to associate an skosxl:Label with a skos:Concept. The property is analogous to skos:hiddenLabel.,owl:ObjectProperty; rdf:Property,,,<http://www.w3.org/2008/05/skos-xl#Label>,,,http://www.w3.org/2008/05/skos-xl.rdf
http://www.w3.org/2008/05/skos-xl#labelRelation,skosxl,SKOS-XL,1,property,label relation,The property skosxl:labelRelation is used for representing binary ('direct') relations between instances of the class skosxl:Label.,owl:ObjectProperty; owl:SymmetricProperty; rdf:Property,,<http://www.w3.org/2008/05/skos-xl#Label>,<http://www.w3.org/2008/05/skos-xl#Label>,,,http://www.w3.org/2008/05/skos-xl.rdf
http://www.w3.org/2008/05/skos-xl#literalForm,skosxl,SKOS-XL,1,property,literal form,The property skosxl:literalForm is used to give the literal form of an skosxl:Label.,owl:DatatypeProperty; rdf:Property,,<http://www.w3.org/2008/05/skos-xl#Label>,,,,http://www.w3.org/2008/05/skos-xl.rdf
http://www.w3.org/2008/05/skos-xl#prefLabel,skosxl,SKOS-XL,1,property,preferred label,The property skosxl:prefLabel is used to associate an skosxl:Label with a skos:Concept. The property is analogous to skos:prefLabel.,owl:ObjectProperty; rdf:Property,,,<http://www.w3.org/2008/05/skos-xl#Label>,,,http://www.w3.org/2008/05/skos-xl.rdf
http://rdf-vocabulary.ddialliance.org/xkos#ClassificationLevel,xkos,XKOS,2,class,Classification level,,owl:Class; rdfs:Class,skos:Collection,,,,,http://rdf-vocabulary.ddialliance.org/xkos
http://rdf-vocabulary.ddialliance.org/xkos#ConceptAssociation,xkos,XKOS,2,class,Concept association,,owl:Class; rdfs:Class,,,,,,http://rdf-vocabulary.ddialliance.org/xkos
http://rdf-vocabulary.ddialliance.org/xkos#Correspondence,xkos,XKOS,2,class,Correspondence,,owl:Class; rdfs:Class,,,,,,http://rdf-vocabulary.ddialliance.org/xkos
http://rdf-vocabulary.ddialliance.org/xkos#ExplanatoryNote,xkos,XKOS,2,class,Explanatory note,,owl:Class; rdfs:Class,,,,,,http://rdf-vocabulary.ddialliance.org/xkos
http://rdf-vocabulary.ddialliance.org/xkos#additionalContentNote,xkos,XKOS,2,property,additional content,,owl:AnnotationProperty; rdf:Property,xkos:inclusionNote,,,,,http://rdf-vocabulary.ddialliance.org/xkos
http://rdf-vocabulary.ddialliance.org/xkos#after,xkos,XKOS,2,property,after,,owl:TransitiveProperty; rdf:Property,xkos:temporal,,,,,http://rdf-vocabulary.ddialliance.org/xkos
